Category,Value,Order,Question,Answer
THE SCIENCE GEEK,$800,27,"This German-born physicist said, ""do not worry about your difficulties in mathematics; I can assure you that mine are... greater""",Einstein
THE SCIENCE GEEK,$1200,28,He said he's lucky to have chosen theoretical physics--his work isn't affected by his degenerative disease,Stephen Hawking
THE SCIENCE GEEK,$1600,29,"For 10 years, this German worked in his free time, inventing the internal-combustion engine named for him",(Rudolph) Diesel
THE SCIENCE GEEK,"DD: $4,000",30,A unit of measure is named for this Italian count who by age 18 had devoted himself to the study of electricity,(Alessandro) Volta
THE TEENS,$400,4,"It's the minimum age for our Teen Tournament (good age for a bar mitzvah, too)",13
THE TEENS,$800,5,"When a girl turns this ""sweet"" age, it's traditional to throw her a party",16
THE TEENS,$1200,6,"The ""Just for Teens"" magazine full of stuff about the stars isn't called J-Lo, but J-this",14
THE TEENS,$1600,7,"If you want to be Miss America, you have to be at least this old",
THE TEENS,$2000,8,In 2002 Prince Harry got his own coat of arms when he turned this age,18
WORLD WAR I,$200,6,"Naively, World War I was dubbed ""The War To End All"" these",Wars
WORLD WAR I,$400,7,"Breaking a long stalemate in the fighting, this country entered the war in April 1917",the United States
WORLD WAR I,$600,8,"This variety of coat, seen here, bears the name of front-line fortifications used in World War I",trench coat
WORLD WAR I,$800,9,Kaiser Wilhelm II was this country's leader during the war,Germany
WORLD WAR I,$1000,10,"In asking for a declaration of war in 1917, Pres. Wilson said, ""The world must be made safe for"" this",democracy
4-LETTER WORDS,$100,11,"Despite its name, this pink wine is made from grapes, not flowers",Rose
4-LETTER WORDS,$200,17,"The dry particles of matter found on your furniture, or what you do to remove them",Dust
4-LETTER WORDS,$300,23,"Because of his big bullwhip, western star Al LaRue was nicknamed this","""Lash"""
4-LETTER WORDS,$400,24,"""Integument"" is a fancy word for this part of an animal when it's separated from the body",Skin
4-LETTER WORDS,$500,25,The badges Girl Scouts earn are officially worn on this part of the uniform,Sash
ANATOMY,$200,26,Part of your body which contains a mitral valve,Heart
ANATOMY,$400,27,"Felt when you ""Make a Muscle"", this muscle raises the forearm",Bicep
ANATOMY,$600,28,It comprises about 62% of the weight of an average man; about 6% less in women,water
ANATOMY,,,,
ANATOMY,,,,
EDUCATION,$200,21,"This term for a secondary school came from Edinburgh, Scotland",High School
EDUCATION,$400,22,"The 1st female med school grad in Italy, she revolutionized methods of teaching young children",Maria Montessori
EDUCATION,$600,23,In 1947 the Supreme Court upheld free busing & in 1968 free books for students in these schools,Parochial Schools
EDUCATION,"DD: $7,000",24,"In 1896, the Supreme Court used this oft-quoted phrase to describe acceptable segregation",
EDUCATION,$1000,25,"19th century Massachusetts educator who's known as the ""Father of American Public Education""",Horace Mann
FAMOUS FAMILIES,$100,12,"On July 22, 1989, she celebrated her 99th birthday at the family compound in Hyannis Port",Rose Kennedy
FAMOUS FAMILIES,$200,13,"In this family, Leo was a famous tenor, his son Walter and granddaughter Erika, actors",Slezak
FAMOUS FAMILIES,$300,14,His daughters Caroline & Stephanie seem to be popular tabloid topics,Prince Rainier of Monaco
FAMOUS FAMILIES,"DD: $1,000",15,"Michael d'Abo, father of Olivia on ""The Wonder Years"", was lead singer of the following group:""Come all without /Come all within /You'll not see nothing like the Mighty Quinn""",Manfred Mann
FAMOUS FAMILIES,$500,16,The Marciano Brothers & the Nakash Brothers are feuding families in this line of business,blue jeans manufacturers
FIRSTS,$100,18,Dr. West's Miracle Tuft toothbrush of 1938 was the 1st to have bristles made of this,Nylon/Plastic
FIRSTS,$200,19,Observance at which English colonists 1st ate popcorn,Thanksgiving
FIRSTS,$300,20,They were the U.S. presidents when the 1st man went into space & the 1st man walked on the Moon,Kennedy & Nixon
FIRSTS,$400,21,The 8 contestants in the 1st Miss America pageant in 1921 represented these,Cities
FIRSTS,$500,22,In 1981 Western Bancorporation was renamed this when it became the 1st bank to franchise its services,First Interstate Bank
FURNITURE,$100,1,The French Empire style of furniture is associated with his empire,Napoleon I
FURNITURE,$200,2,"Small, modern table named for the school where it was designed, not for a clergyman",Parson\'s Table
FURNITURE,$300,3,Stand with a sloping top that serves to support a book; its 1st known appearance was in Byzantium,Lectern
FURNITURE,$400,4,"This word can mean either an upholstered, backless & armless seat or a stuffed footstool",Ottoman
FURNITURE,$500,5,This American furniture style that appeared about 1790 was named for the new style of government,Federal
LASTS,$200,2,"Dying in 1832 at age 95, Charles Carrol of Carrolton was the last surviving person who signed this",Declaration of Independence
LASTS,$400,3,"The last beach movie this pair starred in  was ""Back to the Beach""",Annette Funicello & Frankie Avalon
LASTS,$600,13,"On Sunday, May 14, 1989, these 2 network shows aired their last episodes & they were on against each other",Family Ties & Moonlighting
LASTS,$800,14,This car company merged with Packard in 1954 & made its last car in the U.S. in 1963,Studebaker
LASTS,$1000,15,"This author of ""The Last Days of Pompeii"" advised Dickens to give ""Great Expectations"" a happier ending",Edward Bulwer-Lytton
MUSIC,$200,16,Some say man's 1st musical instrument was the flute; others say it was this percussion type,Drum
MUSIC,$400,17,"In the 1960's, Robert A. Moog developed this instrument used in classical & pop music",Synthesizer
MUSIC,$600,18,"42 members of the London Symphony are heard in ""A Day In The Life"" on this Beatles album",Sgt. Pepper\'s Lonely Hearts Club Band
MUSIC,$800,19,Collier's Ency. says this Gershwin work is the most widely performed orchestral piece by an American,"""Rhapsody In Blue"""
MUSIC,$1000,20,Sigma guitars imported from Korea are sold in the U.S. by this company known for its acoustic guitars,Martin
SAINTS,$200,4,"If his mother had listened to friends & named him after his father, he would be Zechariah the Baptist",John the Baptist
SAINTS,$400,1,"Though born in Britain c. 385, he's the patron saint of a nearby island",St. Patrick
SAINTS,$600,5,"Brewer's Dictionary quotes this saint as having said, ""Love me, love my dog.""",St. Bernard
SAINTS,$800,6,"As their patron saint, St. Erasmus, also known by this name, gets sailors all fired up",St. Elmo
SAINTS,$1000,7,"He founded the Daughters of Charity & the Lazarists, and a charitable society is named for him",St. Vincent DePaul
SPORTS,$100,26,Lauren Bacall could tell you it's the term used for 1 stroke over par in golf,Bogey
SPORTS,$200,27,In 1968 Olympic gold medalist Jim Hines became the 1st man to run this race in under 10 seconds,100 meter dash
SPORTS,$300,28,"In this team sport, the neutral zone is located between 2 blue lines",ice hockey
SPORTS,,,,
SPORTS,,,,
THE OLD WEST,$200,8,"In 1840 this Swiss was granted 49,000 acres in California & built a tannery, a fort, a mill...",John Sutter
THE OLD WEST,$400,9,"He wrote about the time he spent seeking hides on the West Coast in ""Two Years Before the Mast""",Richard Dana
THE OLD WEST,$600,10,"Tx. & Mex. banned the Maher-Fitzsimmons boxing match, so this judge held it on a sand bar in the Rio Grande",Judge Roy Bean
THE OLD WEST,"DD: $4,000",11,"In 1849 the Army took over Fort Laramie, Wyoming, to protect the wagon trains on this trail",the Oregon Trail
THE OLD WEST,$1000,12,"On May 10, 1869, Leland Stanford drew back his sledgehammer, let it fall, & missed the spike linking these RR's",Union Pacific & Central Pacific
WORLD GEOGRAPHY,$100,6,Kangaroo Island is the 3rd largest offshore island of this country,Australia
WORLD GEOGRAPHY,$200,7,Judas trees grow on the northern slopes of this country's Mount Carmel National Park & Nature Reserves,Israel
WORLD GEOGRAPHY,$300,8,At the old observatory here you can stand with 1 foot in the eastern hemisphere & one in the western,Greenwich
WORLD GEOGRAPHY,$400,9,"The southernmost glacier in Europe, the Calderone, is in this country's Apennine mountains",Italy
WORLD GEOGRAPHY,$500,10,This port city is West Germany's leading industrial center,Hamburg
AT THE MALL,$200,11,"In 2004, this ""old"" clothing store for the whole family celebrated its tenth anniversary",Old Navy
AT THE MALL,$400,12,"What began as a little surf shop in Newport Beach, California is now this mall-based retailer know as PacSun for short",Pacific Sunwear
AT THE MALL,$600,13,"At this bakery, take a break from shopping with a Pecanbon or its signature roll",Cinnabon
AT THE MALL,$800,14,"What started as Musicland in Minnesota is now the chain selling music, videos & games under this male name",Sam Goody
AT THE MALL,$1000,15,"Start saving up for a video phone from this company whose store is a real ""hot spot""",T-Mobile
BIBLICAL POLICE BLOTTER,$200,26,Seems this perp was the first murderer in the Bible & to top it off he iced his own brother,Cain
BIBLICAL POLICE BLOTTER,$400,27,"When Herodias' burlesque-dancing daughter said she wanted to get ahead, she meant the head of this man",John the Baptist
BIBLICAL POLICE BLOTTER,$600,28,"We admire his faith, but it seems this guy almost knocked off his own son in Genesis 22",Abraham
BIBLICAL POLICE BLOTTER,$800,29,"Hey, we don't make the rules; this man's wife gazed back at Sodom against orders & was turned into a pillar of salt",Lot
BIBLICAL POLICE BLOTTER,$1000,30,We don't have to worry about collaring Uzzah; he was killed for touching this object in violation of divine law,The Ark of the Covenant
BRAIN TEASE,$400,1,"Appearing wrinkled & knotted, it's the largest part of the brain, making up about 85% of it by weight",the cerebrum
BRAIN TEASE,$800,25,The third leading cause of death in the U.S. is this 6-letter term,stroke
BRAIN TEASE,$1200,26,Brain waves are measured using the instrument known by these 3 letters for short,E.E.G.
BRAIN TEASE,$1600,27,Attached by a stalk to the base of the brain is this master gland which controls the others,the pituitary gland
BRAIN TEASE,$2000,28,These brain cells that transmit nerve impulses number in the billions,neurons
CANADIAN FLAGS,$400,3,This province's flag depicts a setting sun over wavy blue stripes that symbolize the Pacific Ocean,British Columbia
CANADIAN FLAGS,$800,4,This other flag is depicted on the flags of Ontario & Manitoba,the Union Jack
CANADIAN FLAGS,$1200,5,The flag of this territory includes a malamute (or is it a husky?),the Yukon Territory
CANADIAN FLAGS,"DD: $3,000",6,Its flag has the royal arms of Scotland & is the reverse colors of the Scottish flag,Nova Scotia
CANADIAN FLAGS,$2000,7,The flag of this province is seen here,Quebec
FIX THE PROVERB,$400,2,All root is the evil of money,
FIX THE PROVERB,$800,10,That gold glitters is not all,All that glitters is not gold
FIX THE PROVERB,$1200,14,Own your canoe paddle,Paddle your own canoe
FIX THE PROVERB,$1600,15,The best is laughter medicine,Laughter is the best medicine
FIX THE PROVERB,$2000,18,Hear once before you speak twice,Hear twice before you speak once
LINCOLN BLOGS,$400,8,"After the trouble I took, Frederick Douglass tells me that most slaves haven't even heard about this proclamation",the Emancipation Proclamation
LINCOLN BLOGS,$800,9,Here I am meeting this new Union commander for the first time,(Ulysses S.) Grant
LINCOLN BLOGS,"DD: $1,800",11,Enjoyed my April 4 visit to this city about 90 miles from Washington; General Van Alen nags about how dangerous it was,Richmond (Virginia)
LINCOLN BLOGS,$1600,12,"Treasury Secy. Chase just submitted this to me for the third time--guess what, pal.  This time I'm accepting it",his resignation
LINCOLN BLOGS,$2000,13,"The state militia system isn't cutting it, so I had to sign a bill authorizing this, also called conscription",the draft
OLD NEWS,$400,19,In 1989 this president vetoed a bill that would raise the minimum wage,George H. W. Bush
OLD NEWS,$800,20,In 1980 the U.N. approved a resolution deploring this country's invasion of Afghanistan,Russia (or the USSR)
OLD NEWS,$1200,16,In 1982 this country's Ayatollah Khomeini called upon the Iraqi people to overthrow Saddam Hussein,Iran
OLD NEWS,$1600,17,In 1981 a federal judge ruled it illegal to indefinitely imprison refugees from this communist island,Cuba
OLD NEWS,$2000,21,In 1985 Greek & Turkish community leaders failed to reach an agreement for this island's reunification,Cyprus
POP SINGERS ON BROADWAY,$400,22,"Frenchie Davis made news in 2003 by joining the cast of ""Rent"" after she was bounced from this TV series",American Idol
POP SINGERS ON BROADWAY,$800,23,"You could say this singer was ""N Sync"" when he starred in ""Little Shop of Horrors"" in 2004",Joey Fatone
POP SINGERS ON BROADWAY,$1200,24,"(Sarah of the Clue Crew reports from the Gershwin Theatre: ""I'm on the Broadway set  of Wicked."")  In 2004, making his Broadway debut,  this New Kid played Fiyero in ""Wicked""",Joey McIntyre
POP SINGERS ON BROADWAY,$1600,30,"This singer who's the voice of TV's ""Kim Possible"" was the beauty in ""Beauty and the Beast"" in 2004",Christy Carlson Romano
POP SINGERS ON BROADWAY,$2000,29,R&B; sensation Deborah A. Cox reigned on Broadway in 2004 as this title African princess,Aida
RECENT CINEMA,$200,21,"In this 2004 film, Harry Osborn says ""Now... let's see who's behind the mask""",Spider-Man 2
RECENT CINEMA,$400,22,"In a 2004 sequel, this ogre travels to meet his in-laws, King Harold & Queen Lillian",Shrek 2
RECENT CINEMA,$600,23,"With the help pf Christina Applegate & James Gandolfini, Ben Affleck seeks to survive this holiday",Christmas
RECENT CINEMA,$800,24,This film tells the story of the 1988 championship football season of the Permian High School Panthers,Friday Night Lights
RECENT CINEMA,$1000,25,"In ""Shark Tale"" this famous director provides the voice of Sykes, a puffer fish with eyebrows",Martin Scorsese
THE LARGEST IN AREA,$200,16,"Chad,China,Chile",China
THE LARGEST IN AREA,$400,17,"Brazil,Botswana,Belgium",Brazil
